Asset,Signal,Z-score FP count,Z-score FP rate (%),IQR FP count,IQR FP rate (%),Moving avg FP count,Moving avg FP rate (%)
P-0200,diff_pressure_bar,87072,16.45,140951,26.69,242591,45.95
P-0200,motor_temp_c,140655,26.56,249692,47.27,257001,48.75
P-0200,vibration_mm_s,1454,0.28,502845,95.77,0,0.0
P-0400,diff_pressure_bar,118439,22.38,139355,26.39,259155,49.1
P-0400,motor_temp_c,140874,26.6,242307,45.88,257566,48.85
P-0400,vibration_mm_s,1443,0.27,502637,95.73,0,0.0
P-0600,diff_pressure_bar,124533,23.53,138835,26.29,261821,49.61
P-0600,motor_temp_c,141719,26.76,246627,46.69,257174,48.78
P-0600,vibration_mm_s,1394,0.27,502934,95.79,0,0.0
P-0700,diff_pressure_bar,16140,3.05,190036,36.08,103933,19.65
P-0700,motor_temp_c,142238,26.86,229455,43.45,258318,48.99
P-0700,vibration_mm_s,1344,0.26,502904,95.78,0,0.0
P-0800,diff_pressure_bar,46527,8.79,150063,28.43,202040,38.25
P-0800,motor_temp_c,141680,26.75,236509,44.78,257598,48.86
P-0800,vibration_mm_s,1459,0.28,502576,95.72,0,0.0
