Signal,Month,Z-score FP count,Z-score FP rate (%),IQR FP count,IQR FP rate (%),Moving avg FP count,Moving avg FP rate (%)
diff_pressure_bar,1,35.2,0.08,1729.0,3.88,186.6,0.42
diff_pressure_bar,2,13.4,0.03,1812.0,4.5,0.0,0.0
diff_pressure_bar,3,18.2,0.04,2240.6,5.02,42.4,0.1
diff_pressure_bar,4,439.2,1.02,1632.4,3.78,16434.2,38.08
diff_pressure_bar,5,9680.6,21.71,1175.6,2.64,35783.6,80.24
diff_pressure_bar,6,20147.8,46.68,916.2,2.12,39017.6,90.4
diff_pressure_bar,7,24370.4,54.65,763.2,1.71,41302.0,92.63
diff_pressure_bar,8,18012.0,40.39,950.4,2.13,39359.0,88.27
diff_pressure_bar,9,5626.2,13.04,1241.0,2.88,31103.8,72.07
diff_pressure_bar,10,172.4,0.39,1715.4,3.85,10678.8,23.94
diff_pressure_bar,11,17.0,0.04,2063.2,4.78,0.0,0.0
diff_pressure_bar,12,9.8,0.02,2144.4,4.81,0.0,0.0
motor_temp_c,1,0.0,0.0,475.0,1.07,22.0,0.05
motor_temp_c,2,0.0,0.0,2032.4,5.05,0.0,0.0
motor_temp_c,3,0.0,0.0,3030.4,6.8,10.0,0.02
motor_temp_c,4,0.0,0.0,1469.6,3.41,31429.2,72.83
motor_temp_c,5,19635.8,44.03,1014.6,2.28,44597.6,100.0
motor_temp_c,6,41992.8,97.3,689.0,1.6,43159.2,100.0
motor_temp_c,7,44578.2,99.97,339.2,0.76,44589.4,100.0
motor_temp_c,8,33293.6,74.67,556.0,1.25,44587.4,100.0
motor_temp_c,9,1932.8,4.48,1067.6,2.47,41168.6,95.39
motor_temp_c,10,0.0,0.0,1372.8,3.08,7968.0,17.87
motor_temp_c,11,0.0,0.0,2805.4,6.5,0.0,0.0
motor_temp_c,12,0.0,0.0,3451.8,7.74,0.0,0.0
vibration_mm_s,1,113.8,0.26,1860.2,4.17,0.0,0.0
vibration_mm_s,2,107.8,0.27,1738.0,4.31,0.0,0.0
vibration_mm_s,3,119.8,0.27,1936.2,4.34,0.0,0.0
vibration_mm_s,4,117.4,0.27,1855.0,4.3,0.0,0.0
vibration_mm_s,5,123.6,0.28,1968.6,4.41,0.0,0.0
vibration_mm_s,6,116.0,0.27,1882.8,4.36,0.0,0.0
vibration_mm_s,7,120.6,0.27,1895.8,4.25,0.0,0.0
vibration_mm_s,8,117.8,0.26,1886.2,4.23,0.0,0.0
vibration_mm_s,9,119.0,0.28,1868.2,4.33,0.0,0.0
vibration_mm_s,10,120.2,0.27,1961.6,4.4,0.0,0.0
vibration_mm_s,11,119.0,0.28,1866.2,4.32,0.0,0.0
vibration_mm_s,12,123.8,0.28,1937.6,4.34,0.0,0.0
