Asset,Signal,Month,Z-score FP count,Z-score FP rate (%),IQR FP count,IQR FP rate (%),Moving avg FP count,Moving avg FP rate (%)
P-0200,vibration_mm_s,1,107,0.23995335486185862,1883,4.222730534625045,0,0.0
P-0200,vibration_mm_s,2,111,0.27553680029787764,1651,4.098299615241405,0,0.0
P-0200,vibration_mm_s,3,125,0.2802941967889497,1852,4.152838819625078,0,0.0
P-0200,vibration_mm_s,4,133,0.3082056867425208,1817,4.210599494820754,0,0.0
P-0200,vibration_mm_s,5,125,0.2803130536182809,1882,4.220393335276837,0,0.0
P-0200,vibration_mm_s,6,125,0.2895797618496039,1948,4.512811008664227,0,0.0
P-0200,vibration_mm_s,7,120,0.26914278024491994,1945,4.362355896469744,0,0.0
P-0200,vibration_mm_s,8,117,0.2624083252966111,1903,4.268060196918384,0,0.0
P-0200,vibration_mm_s,9,127,0.2942539388322521,1875,4.344300278035218,0,0.0
P-0200,vibration_mm_s,10,110,0.2466423013968923,1946,4.363326531985022,0,0.0
P-0200,vibration_mm_s,11,124,0.28730971523899995,1823,4.2239162167798145,0,0.0
P-0200,vibration_mm_s,12,130,0.2914667503699386,1890,4.237478139993723,0,0.0
P-0200,motor_temp_c,1,0,0.0,378,0.8476856835306782,46,0.10315751704341586
P-0200,motor_temp_c,2,0,0.0,2144,5.322080178726573,0,0.0
P-0200,motor_temp_c,3,0,0.0,3224,7.22934792358059,4,0.00896941429724639
P-0200,motor_temp_c,4,0,0.0,1439,3.3346464903946424,31584,73.19073992538178
P-0200,motor_temp_c,5,19401,43.50682842598614,1052,2.359114659251452,44593,100.0
P-0200,motor_temp_c,6,42174,97.70189500996155,726,1.6818792568224992,43166,100.0
P-0200,motor_temp_c,7,44584,99.99551428699591,146,0.3274570492979859,44586,100.0
P-0200,motor_temp_c,8,33067,74.16287258617983,603,1.3524121380671497,44587,100.0
P-0200,motor_temp_c,9,1429,3.3109360518999074,1006,2.3308619091751623,41123,95.28035217794253
P-0200,motor_temp_c,10,0,0.0,1246,2.793784614004798,7312,16.394986434673424
P-0200,motor_temp_c,11,0,0.0,2897,6.7123890729627655,0,0.0
P-0200,motor_temp_c,12,0,0.0,3480,7.802340702210663,0,0.0
P-0200,diff_pressure_bar,1,15,0.03363832077502691,1855,4.159939002511662,58,0.1300681736634374
P-0200,diff_pressure_bar,2,3,0.007446940548591287,1764,4.378801042571677,0,0.0
P-0200,diff_pressure_bar,3,3,0.006727060722934793,2347,5.262803838909319,6,0.013454121445869585
P-0200,diff_pressure_bar,4,556,1.2884388107431697,1734,4.018260607605496,19451,45.07450235209603
P-0200,diff_pressure_bar,5,9732,21.824053102504877,1043,2.3389321193909356,41651,93.40255197004014
P-0200,diff_pressure_bar,6,22912,53.07881202798499,635,1.4710651901959877,43163,99.99305008571561
P-0200,diff_pressure_bar,7,28172,63.18575337549903,420,0.9419997308572198,44586,100.0
P-0200,diff_pressure_bar,8,19838,44.492789378069844,678,1.5206226030008747,44369,99.51106824859264
P-0200,diff_pressure_bar,9,5645,13.079240037071362,1129,2.6158480074142725,37171,86.12372567191845
P-0200,diff_pressure_bar,10,194,0.4349873315545192,1898,4.2557008004663786,12136,27.211372452297137
P-0200,diff_pressure_bar,11,2,0.004634027665145161,1953,4.52512801501425,0,0.0
P-0200,diff_pressure_bar,12,0,0.0,2102,4.712793148289315,0,0.0
P-0400,vibration_mm_s,1,118,0.2645858558679761,1963,4.401542670074892,0,0.0
P-0400,vibration_mm_s,2,108,0.26806989674344717,1801,4.470313741064337,0,0.0
P-0400,vibration_mm_s,3,115,0.25792849773471493,1951,4.37581303548199,0,0.0
P-0400,vibration_mm_s,4,111,0.2571825764596849,1999,4.6316033364226135,0,0.0
P-0400,vibration_mm_s,5,126,0.28255555804722715,1974,4.426703742739892,0,0.0
P-0400,vibration_mm_s,6,124,0.287369640787949,1914,4.4356894553881805,0,0.0
